Date,Location,Administered,number_of_days_MD,output_MD
2021-03-04,MD,1497538,79,43044
2021-03-03,MD,1454494,78,64124
2021-03-02,MD,1390370,77,26225
2021-03-01,MD,1364145,76,38168
2021-02-28,MD,1325977,75,45302
2021-02-27,MD,1280675,74,41031
2021-02-26,MD,1239644,73,40501
2021-02-25,MD,1199143,72,39160
2021-02-24,MD,1159983,71,27500
2021-02-23,MD,1132483,70,20954
2021-02-22,MD,1111529,69,23767
2021-02-21,MD,1087762,68,33295
2021-02-20,MD,1054467,67,43144
2021-02-19,MD,1011323,66,80756
2021-02-18,MD,930567,65,27395
2021-02-17,MD,903172,64,15229
2021-02-16,MD,887943,63,16571
2021-02-15,MD,871372,62,20378
2021-02-14,MD,850994,61,38763
2021-02-13,MD,812231,60,33441
2021-02-12,MD,778790,59,33312
2021-02-11,MD,745478,58,24319
2021-02-10,MD,721159,57,28194
2021-02-09,MD,692965,56,9660
2021-02-08,MD,683305,55,18280
2021-02-07,MD,665025,54,38187
2021-02-06,MD,626838,53,32191
2021-02-05,MD,594647,52,28826
2021-02-04,MD,565821,51,19412
2021-02-03,MD,546409,50,9372
2021-02-02,MD,537037,49,8736
2021-02-01,MD,528301,48,22847
2021-01-31,MD,505454,47,29674
2021-01-30,MD,475780,46,33215
2021-01-29,MD,442565,45,30359
2021-01-28,MD,412206,44,22953
2021-01-27,MD,389253,43,23734
2021-01-26,MD,365519,42,14684
2021-01-25,MD,350835,41,12291
2021-01-24,MD,338544,40,31133
2021-01-23,MD,307411,39,19899
2021-01-22,MD,287512,38,15607
2021-01-21,MD,271905,37,13759
2021-01-20,MD,258146,36,0
2021-01-19,MD,258146,35,10549
2021-01-18,MD,247597,34,2074
2021-01-17,MD,245523,33,7772
2021-01-16,MD,237751,32,24577
2021-01-15,MD,213174,31,18469
2021-01-14,MD,194705,30,16649
2021-01-13,MD,178056,29,16205
2021-01-12,MD,161851,28,15620
2021-01-11,MD,146231,27,3772
2021-01-10,MD,142459,26,13606
2021-01-09,MD,128853,25,14122
2021-01-08,MD,114731,24,14682
2021-01-07,MD,100049,23,12536
2021-01-06,MD,87513,22,10239
2021-01-05,MD,77274,21,11556
2021-01-04,MD,65718,20,2112
2021-01-03,MD,63606,19,3716
2021-01-02,MD,59890,18,2262
2021-01-01,MD,57628,17,7316
2020-12-31,MD,50312,16,10718
2020-12-30,MD,39594,15,8459
2020-12-29,MD,31135,14,8161
2020-12-28,MD,22974,13,2080
2020-12-27,MD,20894,12,1966
2020-12-26,MD,18928,11,3076
2020-12-25,MD,15852,10,4052
2020-12-24,MD,11800,9,3516
2020-12-23,MD,8284,8,3356
2020-12-22,MD,4928,7,261
2020-12-21,MD,4667,6,829
2020-12-20,MD,3838,5,3317
2020-12-19,MD,521,4,0
2020-12-18,MD,521,3,518
2020-12-17,MD,3,2,3
2020-12-16,MD,0,1,0
