Date,Location,Administered,number_of_days_VA,output_VA
2021-03-04,VA,2284452,79,63804
2021-03-03,VA,2220648,78,49221
2021-03-02,VA,2171427,77,34501
2021-03-01,VA,2136926,76,50732
2021-02-28,VA,2086194,75,83460
2021-02-27,VA,2002734,74,79946
2021-02-26,VA,1922788,73,74014
2021-02-25,VA,1848774,72,45269
2021-02-24,VA,1803505,71,37578
2021-02-23,VA,1765927,70,30476
2021-02-22,VA,1735451,69,30157
2021-02-21,VA,1705294,68,34077
2021-02-20,VA,1671217,67,25732
2021-02-19,VA,1645485,66,141699
2021-02-18,VA,1503786,65,43683
2021-02-17,VA,1460103,64,28602
2021-02-16,VA,1431501,63,32204
2021-02-15,VA,1399297,62,44066
2021-02-14,VA,1355231,61,24926
2021-02-13,VA,1330305,60,55467
2021-02-12,VA,1274838,59,51639
2021-02-11,VA,1223199,58,35859
2021-02-10,VA,1187340,57,25750
2021-02-09,VA,1161590,56,25951
2021-02-08,VA,1135639,55,32269
2021-02-07,VA,1103370,54,50793
2021-02-06,VA,1052577,53,58729
2021-02-05,VA,993848,52,44782
2021-02-04,VA,949066,51,26126
2021-02-03,VA,922940,50,21727
2021-02-02,VA,901213,49,30393
2021-02-01,VA,870820,48,37599
2021-01-31,VA,833221,47,47301
2021-01-30,VA,785920,46,61152
2021-01-29,VA,724768,45,56367
2021-01-28,VA,668401,44,39382
2021-01-27,VA,629019,43,34191
2021-01-26,VA,594828,42,111855
2021-01-25,VA,482973,41,31305
2021-01-24,VA,451668,40,22371
2021-01-23,VA,429297,39,27849
2021-01-22,VA,401448,38,39356
2021-01-21,VA,362092,37,18726
2021-01-20,VA,343366,36,0
2021-01-19,VA,343366,35,24634
2021-01-18,VA,318732,34,0
2021-01-17,VA,318732,33,21704
2021-01-16,VA,297028,32,26958
2021-01-15,VA,270070,31,25836
2021-01-14,VA,244234,30,26398
2021-01-13,VA,217836,29,15988
2021-01-12,VA,201848,28,11241
2021-01-10,VA,217132,26,10505
2021-01-09,VA,206627,25,22393
2021-01-08,VA,184234,24,16836
2021-01-07,VA,167398,23,24279
2021-01-06,VA,143119,22,12622
2021-01-05,VA,130497,21,20195
2021-01-04,VA,110302,20,9286
2021-01-03,VA,101016,19,6496
2021-01-02,VA,94520,18,4357
2021-01-01,VA,90163,17,10742
2020-12-31,VA,79421,16,13526
2020-12-30,VA,65895,15,10704
2020-12-29,VA,55191,14,8670
2020-12-28,VA,46521,13,6596
2020-12-27,VA,39925,12,1741
2020-12-26,VA,38184,11,1292
2020-12-25,VA,36892,10,3924
2020-12-24,VA,32968,9,12022
2020-12-23,VA,20946,8,18227
2020-12-22,VA,2719,7,2448
2020-12-21,VA,271,6,0
2020-12-20,VA,271,5,0
2020-12-19,VA,271,4,0
2020-12-18,VA,271,3,0
2020-12-17,VA,271,2,0
2020-12-16,VA,271,1,261
